step,action,reward,balance,shares_held,portfolio_value,price,timestamp
96,1.0,0.0008040318861643755,0.0,0.23111005638526966,10839.727241431536,46902.88,2024-01-09 16:00:00
97,1.0,-0.004319215843784332,0.0,0.23111005638526966,10796.535082993692,46715.99,2024-01-09 17:00:00
98,1.0,-0.0017446498156523376,0.0,0.23111005638526966,10779.088584837169,46640.5,2024-01-09 18:00:00
99,1.0,0.005442872937929497,0.0,0.23111005638526966,10833.517314216464,46876.01,2024-01-09 19:00:00
100,1.0,-0.005395726486426793,0.0,0.23111005638526966,10779.560049352196,46642.54,2024-01-09 20:00:00
101,1.0,-0.02780485088371188,0.0,0.23111005638526966,10501.511540515077,45439.44,2024-01-09 21:00:00
102,1.0,0.01882530075291852,0.0,0.23111005638526966,10689.764548044262,46254.0,2024-01-09 22:00:00
103,1.0,-0.003327984811947863,0.0,0.23111005638526966,10656.484699924784,46110.0,2024-01-09 23:00:00
104,1.0,-0.005860488809817616,0.0,0.23111005638526966,10597.879811826608,45856.42,2024-01-10 00:00:00
105,1.0,0.0016843300909358731,0.0,0.23111005638526966,10614.723112735966,45929.3,2024-01-10 01:00:00
106,1.0,0.0009658089256339735,0.0,0.23111005638526966,10624.381201992306,45971.09,2024-01-10 02:00:00
107,1.0,0.003374437933281297,0.0,0.23111005638526966,10658.12558132512,46117.1,2024-01-10 03:00:00
108,1.0,-0.0036080902002868244,0.0,0.23111005638526966,10622.04467932225,45960.98,2024-01-10 04:00:00
109,1.0,0.0003468961946342461,0.0,0.23111005638526966,10625.513641268593,45975.99,2024-01-10 05:00:00
110,1.0,0.0006935612792121901,0.0,0.23111005638526966,10632.449254060715,46006.0,2024-01-10 06:00:00
111,1.0,-0.005731991618467327,0.0,0.23111005638526966,10575.129337876042,45757.98,2024-01-10 07:00:00
112,1.0,-0.009892434853515078,0.0,0.23111005638526966,10476.204989340891,45329.94,2024-01-10 08:00:00
113,1.0,0.007660836149058741,0.0,0.23111005638526966,10552.813350831479,45661.42,2024-01-10 09:00:00
114,1.0,-0.0029910263497380583,0.0,0.23111005638526966,10522.903087334098,45532.0,2024-01-10 10:00:00
115,1.0,-0.0003723183008367414,0.0,0.23111005638526966,10519.17990432573,45515.89,2024-01-10 11:00:00
116,1.0,-0.019537119726585114,0.0,0.23111005638526966,10323.80870705988,44670.53,2024-01-10 12:00:00
117,1.0,0.010341712803128213,0.0,0.23111005638526966,10427.225835091162,45118.01,2024-01-10 13:00:00
118,1.0,-0.005408206429471829,0.0,0.23111005638526966,10373.143770796443,44884.0,2024-01-10 14:00:00
119,1.0,0.015308730134960388,0.0,0.23111005638526966,10526.231072146047,45546.4,2024-01-10 15:00:00
120,1.0,-0.005438019626745518,0.0,0.23111005638526966,10471.850875878592,45311.1,2024-01-10 16:00:00
121,1.0,0.025209253840448764,0.0,0.23111005638526966,10723.94341428308,46401.89,2024-01-10 17:00:00
122,1.0,0.0028990445472969442,0.0,0.23111005638526966,10752.933859756049,46527.33,2024-01-10 18:00:00
123,1.0,-0.0008816848651098553,0.0,0.23111005638526966,10744.11701110495,46489.18,2024-01-10 19:00:00
124,1.0,-0.00837034402216177,0.0,0.23111005638526966,10660.413570883333,46127.0,2024-01-10 20:00:00
125,1.0,-0.004183092020573349,0.0,0.23111005638526966,10618.5826506776,45946.0,2024-01-10 21:00:00
126,1.0,0.02211006798432245,0.0,0.23111005638526966,10839.683330520824,46902.69,2024-01-10 22:00:00
127,1.0,-0.005747707102301683,0.0,0.23111005638526966,10782.206259497807,46653.99,2024-01-10 23:00:00
128,1.0,0.00037023831032929595,0.0,0.23111005638526966,10785.9086426011,46670.01,2024-01-11 00:00:00
129,1.0,-0.0037687116894747305,0.0,0.23111005638526966,10748.221525706353,46506.94,2024-01-11 01:00:00
130,1.0,0.001203158953541788,0.0,0.23111005638526966,10760.25311524177,46559.0,2024-01-11 02:00:00
131,1.0,-0.0013136295604937913,0.0,0.23111005638526966,10747.116819636833,46502.16,2024-01-11 03:00:00
132,1.0,-0.0023607892259755315,0.0,0.23111005638526966,10723.508927377077,46400.01,2024-01-11 04:00:00
133,1.0,-0.007626862970770344,0.0,0.23111005638526966,10647.240297669374,46070.0,2024-01-11 05:00:00
134,1.0,-0.0037601606173882827,0.0,0.23111005638526966,10609.638691495491,45907.3,2024-01-11 06:00:00
135,1.0,0.004485846194437908,0.0,0.23111005638526966,10654.49715343987,46101.4,2024-01-11 07:00:00
136,1.0,0.004058292590125348,0.0,0.23111005638526966,10695.080079341124,46277.0,2024-01-11 08:00:00
137,1.0,-0.001314554000719363,0.0,0.23111005638526966,10681.93453933393,46220.12,2024-01-11 09:00:00
138,1.0,0.01478619029747315,0.0,0.23111005638526966,10829.796442308661,46859.91,2024-01-11 10:00:00
139,1.0,0.004624281118212821,0.0,0.23111005638526966,10876.03925349079,47060.0,2024-01-11 11:00:00
140,1.0,0.009004741126939188,0.0,0.23111005638526966,10966.086664760182,47449.63,2024-01-11 12:00:00
141,1.0,-0.0028757024316018944,0.0,0.23111005638526966,10937.329640444163,47325.2,2024-01-11 13:00:00
142,1.0,0.028796775245717436,0.0,0.23111005638526966,11225.297392901337,48571.22,2024-01-11 14:00:00
143,1.0,-0.04130953591852867,0.0,0.23111005638526966,10812.20203371605,46783.78,2024-01-11 15:00:00
144,1.0,-0.017945464768259627,0.0,0.23111005638526966,10632.747386033454,46007.29,2024-01-11 16:00:00
145,1.0,0.011320926112032248,0.0,0.23111005638526966,10745.956647153776,46497.14,2024-01-11 17:00:00
146,1.0,0.0026080769863077876,0.0,0.23111005638526966,10772.037417016854,46609.99,2024-01-11 18:00:00
147,1.0,0.0019022668741072266,0.0,0.23111005638526966,10791.060085757927,46692.3,2024-01-11 19:00:00
148,1.0,-0.010408734719479798,0.0,0.23111005638526966,10686.972738563129,46241.92,2024-01-11 20:00:00
149,1.0,-0.0019854664944057732,0.0,0.23111005638526966,10667.11807361907,46156.01,2024-01-11 21:00:00
150,1.0,0.005638623155687673,0.0,0.23111005638526966,10723.504305175948,46399.99,2024-01-11 22:00:00
151,1.0,-0.0014058424729913896,0.0,0.23111005638526966,10709.445880446034,46339.16,2024-01-11 23:00:00
152,1.0,-0.0010568662878498798,0.0,0.23111005638526966,10698.877217567535,46293.43,2024-01-12 00:00:00
153,1.0,-0.0036503833406053674,0.0,0.23111005638526966,10662.373384161481,46135.48,2024-01-12 01:00:00
154,1.0,0.00019713687809653493,0.0,0.23111005638526966,10664.344752942447,46144.01,2024-01-12 02:00:00
155,1.0,-0.003466881955835379,0.0,0.23111005638526966,10629.675933384093,45994.0,2024-01-12 03:00:00
156,1.0,-0.0008703604723470563,0.0,0.23111005638526966,10620.972328660622,45956.34,2024-01-12 04:00:00
157,1.0,0.005492792710108915,0.0,0.23111005638526966,10675.900255761711,46194.01,2024-01-12 05:00:00
158,1.0,-0.0021530212852852856,0.0,0.23111005638526966,10654.370042908859,46100.85,2024-01-12 06:00:00
159,1.0,-0.002141465782465821,0.0,0.23111005638526966,10632.9553850842,46008.19,2024-01-12 07:00:00
160,1.0,-0.0034245888155170177,0.0,0.23111005638526966,10598.70949692903,45860.01,2024-01-12 08:00:00
161,1.0,0.0015232463816353629,0.0,0.23111005638526966,10613.941960745384,45925.92,2024-01-12 09:00:00
162,1.0,0.0031823854764252246,0.0,0.23111005638526966,10645.765815509636,46063.62,2024-01-12 10:00:00
163,1.0,-0.002525339586122027,0.0,0.23111005638526966,10620.512419648416,45954.35,2024-01-12 11:00:00
164,1.0,-0.0020289151850061897,0.0,0.23111005638526966,10600.223267798354,45866.56,2024-01-12 12:00:00
165,1.0,-0.0020231374335966394,0.0,0.23111005638526966,10579.991893462387,45779.02,2024-01-12 13:00:00
166,1.0,-0.0077884089001836404,0.0,0.23111005638526966,10502.107804460551,45442.02,2024-01-12 14:00:00
167,1.0,-0.022649016635812768,0.0,0.23111005638526966,10275.617638102423,44462.01,2024-01-12 15:00:00
168,1.0,-0.019367253835142036,0.0,0.23111005638526966,10081.945099751003,43624.0,2024-01-12 16:00:00
169,1.0,0.004159749904878481,0.0,0.23111005638526966,10123.542598799788,43803.99,2024-01-12 17:00:00
170,1.0,-0.007672622761934508,0.0,0.23111005638526966,10046.816371180443,43472.0,2024-01-12 18:00:00
171,1.0,1.2711053101156722e-05,0.0,0.23111005638526966,10046.943481711454,43472.55,2024-01-12 19:00:00
172,1.0,0.00417916314961476,0.0,0.23111005638526966,10088.735113207602,43653.38,2024-01-12 20:00:00
173,1.0,-0.004723427332402025,0.0,0.23111005638526966,10041.500839883582,43449.0,2024-01-12 21:00:00
174,1.0,-0.021701234294576897,0.0,0.23111005638526966,9824.488496937813,42510.0,2024-01-12 22:00:00
175,1.0,0.006303064567795627,0.0,0.23111005638526966,9887.519142615769,42782.73,2024-01-12 23:00:00
